#time meanCourantNo maxCourantNo Ndt
5024 0.16074 0.233085 0.0868974
5032 0.160741 0.233109 0.0868965
5040 0.160742 0.233132 0.0868956
5048 0.160742 0.233154 0.0868947
5056 0.160742 0.233176 0.0868937
5064 0.160743 0.233196 0.0868928
5072 0.160743 0.233214 0.0868918
5080 0.160743 0.233231 0.0868909
5088 0.160744 0.233246 0.0868899
5096 0.160744 0.233258 0.0868889
5104 0.160744 0.233268 0.0868879
5112 0.160744 0.233274 0.0868869
5120 0.160745 0.233278 0.0868859
5128 0.160745 0.233279 0.0868848
5136 0.160746 0.233276 0.0868838
5144 0.160746 0.23327 0.0868827
5152 0.160746 0.233261 0.0868816
5160 0.160747 0.233248 0.0868805
5168 0.160748 0.233233 0.0868794
5176 0.160748 0.233215 0.0868783
5184 0.160749 0.233194 0.0868772
5192 0.160749 0.233172 0.086876
5200 0.16075 0.233147 0.0868749
5208 0.160751 0.233121 0.0868737
5216 0.160751 0.233095 0.0868725
5224 0.160752 0.233068 0.0868712
5232 0.160753 0.233041 0.08687
5240 0.160753 0.233014 0.0868687
5248 0.160754 0.232989 0.0868674
5256 0.160755 0.232966 0.0868661
5264 0.160756 0.232944 0.0868647
5272 0.160757 0.232925 0.0868633
5280 0.160758 0.232909 0.0868619
5288 0.160759 0.232896 0.0868605
5296 0.16076 0.232886 0.086859
5304 0.160761 0.232879 0.0868575
5312 0.160762 0.232875 0.086856
5320 0.160763 0.232874 0.0868545
5328 0.160764 0.232877 0.0868529
5336 0.160765 0.232882 0.0868513
5344 0.160766 0.23289 0.0868497
5352 0.160767 0.232899 0.086848
5360 0.160767 0.232911 0.0868464
5368 0.160768 0.232923 0.0868447
5376 0.160769 0.232936 0.0868431
5384 0.16077 0.23295 0.0868414
5392 0.16077 0.232963 0.0868397
5400 0.160771 0.232976 0.086838
5408 0.160771 0.232988 0.0868363
5416 0.160772 0.232999 0.0868347
5424 0.160772 0.233008 0.086833
5432 0.160772 0.233015 0.0868314
5440 0.160772 0.233021 0.0868298
5448 0.160771 0.233025 0.0868282
5456 0.160771 0.233027 0.0868266
5464 0.16077 0.233027 0.086825
5472 0.160769 0.233026 0.0868235
5480 0.160768 0.233023 0.086822
5488 0.160767 0.23302 0.0868205
5496 0.160765 0.233015 0.086819
5504 0.160763 0.23301 0.0868175
5512 0.160761 0.233004 0.0868161
5520 0.160759 0.232998 0.0868146
5528 0.160757 0.232992 0.0868132
5536 0.160754 0.232986 0.0868118
5544 0.160752 0.232981 0.0868103
5552 0.160749 0.232976 0.0868089
5560 0.160746 0.232972 0.0868075
5568 0.160742 0.232969 0.0868061
5576 0.160739 0.232966 0.0868046
5584 0.160735 0.232964 0.0868032
5592 0.160731 0.232963 0.0868017
5600 0.160727 0.232962 0.0868003
5608 0.160723 0.232961 0.0867988
5616 0.160719 0.23296 0.0867973
5624 0.160715 0.23296 0.0867958
5632 0.160711 0.232959 0.0867943
5640 0.160707 0.232958 0.0867929
5648 0.160703 0.232957 0.0867914
5656 0.1607 0.232956 0.0867899
5664 0.160696 0.232954 0.0867884
5672 0.160693 0.232952 0.086787
5680 0.160689 0.232949 0.0867856
