#time meanCourantNo maxCourantNo Ndt
5152 0.160579 0.210433 0.0868444
5160 0.16058 0.210421 0.0868433
5168 0.160581 0.210407 0.0868421
5176 0.160581 0.21039 0.086841
5184 0.160582 0.210371 0.0868398
5192 0.160583 0.21035 0.0868386
5200 0.160584 0.210327 0.0868374
5208 0.160584 0.210303 0.0868362
5216 0.160585 0.210279 0.086835
5224 0.160586 0.210254 0.0868337
5232 0.160587 0.210229 0.0868325
5240 0.160588 0.210205 0.0868312
5248 0.160589 0.210182 0.0868298
5256 0.16059 0.21016 0.0868285
5264 0.160591 0.21014 0.0868271
5272 0.160592 0.210122 0.0868257
5280 0.160593 0.210107 0.0868243
5288 0.160594 0.210095 0.0868228
5296 0.160595 0.210085 0.0868213
5304 0.160596 0.210078 0.0868198
5312 0.160597 0.210075 0.0868183
5320 0.160598 0.210074 0.0868167
5328 0.160599 0.210075 0.0868151
5336 0.1606 0.21008 0.0868135
5344 0.160601 0.210086 0.0868118
5352 0.160602 0.210094 0.0868102
5360 0.160603 0.210104 0.0868085
5368 0.160603 0.210114 0.0868068
5376 0.160604 0.210126 0.0868051
5384 0.160605 0.210137 0.0868034
5392 0.160606 0.210149 0.0868017
5400 0.160606 0.210159 0.0868
5408 0.160607 0.210169 0.0867983
5416 0.160607 0.210178 0.0867966
5424 0.160607 0.210186 0.086795
5432 0.160607 0.210192 0.0867933
5440 0.160607 0.210196 0.0867916
5448 0.160607 0.210199 0.08679
5456 0.160606 0.2102 0.0867884
5464 0.160606 0.210199 0.0867868
5472 0.160605 0.210197 0.0867853
5480 0.160604 0.210194 0.0867837
5488 0.160602 0.210189 0.0867822
5496 0.160601 0.210184 0.0867807
5504 0.160599 0.210178 0.0867792
5512 0.160597 0.210172 0.0867778
5520 0.160595 0.210166 0.0867763
5528 0.160593 0.210159 0.0867749
5536 0.16059 0.210153 0.0867734
5544 0.160588 0.210147 0.086772
5552 0.160585 0.210142 0.0867706
5560 0.160582 0.210138 0.0867691
5568 0.160578 0.210134 0.0867677
5576 0.160575 0.21013 0.0867662
5584 0.160571 0.210127 0.0867647
5592 0.160567 0.210125 0.0867633
5600 0.160563 0.210123 0.0867618
5608 0.160559 0.210121 0.0867603
5616 0.160555 0.21012 0.0867588
5624 0.160551 0.210118 0.0867573
5632 0.160547 0.210117 0.0867558
5640 0.160543 0.210115 0.0867543
5648 0.160539 0.210113 0.0867528
5656 0.160535 0.210111 0.0867513
5664 0.160532 0.210109 0.0867498
5672 0.160529 0.210106 0.0867484
5680 0.160525 0.210103 0.0867469
5688 0.160523 0.210099 0.0867455
5696 0.16052 0.210095 0.0867441
5704 0.160518 0.210091 0.0867427
5712 0.160516 0.210086 0.0867414
5720 0.160514 0.210082 0.0867401
5728 0.160513 0.210077 0.0867388
5736 0.160512 0.210072 0.0867376
5744 0.160511 0.210067 0.0867364
5752 0.160511 0.210062 0.0867352
5760 0.160511 0.210057 0.0867341
5768 0.160511 0.210052 0.086733
5776 0.160512 0.210047 0.0867319
5784 0.160513 0.210042 0.0867308
5792 0.160514 0.210037 0.0867298
5800 0.160515 0.210032 0.0867287
5808 0.160517 0.210027 0.0867277
5816 0.160519 0.210021 0.0867267
5824 0.160521 0.210016 0.0867256
5832 0.160523 0.21001 0.0867246
5840 0.160525 0.210003 0.0867235
5848 0.160527 0.209996 0.0867224
5856 0.160529 0.209989 0.0867213
5864 0.160531 0.209981 0.0867202
5872 0.160533 0.209973 0.086719
5880 0.160535 0.209964 0.0867178
5888 0.160537 0.209954 0.0867166
5896 0.160539 0.209944 0.0867154
5904 0.16054 0.209933 0.0867141
5912 0.160541 0.209921 0.0867128
5920 0.160542 0.209909 0.0867115
5928 0.160543 0.209896 0.0867102
5936 0.160544 0.209882 0.0867088
